Name,Category,Subcategory,Subsubcategory,URL,serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,sugars,protein,caffeine
Iced Caffè Mocha,drinks,cold coffees,iced mochas,https://www.starbucks.com/menu/product/408/iced, 12 fl oz,260.0, 13 g, 8 g, 0 g, 35 mg, 80 mg, 29 g, 3 g, 23 g, 8 g, 95 mg
Summer-Berry Lemonade Starbucks Refreshers® Beverage,drinks,starbucks refreshers® beverages,seasonal exclusives,https://www.starbucks.com/menu/product/2123854/iced, 12 fl oz,110.0, 0 g, 0 g, 0 g, 0 mg, 30 mg, 26 g, 0 g, 25 g, 0 g, 35 mg
Summer Skies Drink Starbucks Refreshers® Beverage,drinks,starbucks refreshers® beverages,seasonal exclusives,https://www.starbucks.com/menu/product/2123856/iced, 12 fl oz,100.0, 2 g, 1.5 g, 0 g, 0 mg, 70 mg, 20 g, 0 g, 19 g, 0 g, 35 mg
Summer-Berry Starbucks Refreshers® Beverage,drinks,starbucks refreshers® beverages,seasonal exclusives,https://www.starbucks.com/menu/product/2123855/iced, 12 fl oz,70.0, 0 g, 0 g, 0 g, 0 mg, 30 mg, 17 g, 0 g, 16 g, 0 g, 35 mg
Strawberry Açaí Lemonade Starbucks Refreshers® Beverage,drinks,starbucks refreshers® beverages,lemonades and frozen,https://www.starbucks.com/menu/product/2122677/iced, 12 fl oz,110.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 27 g, 1 g, 24 g, 0 g, 35 mg
Mango Dragonfruit Lemonade Starbucks Refreshers® Beverage,drinks,starbucks refreshers® beverages,lemonades and frozen,https://www.starbucks.com/menu/product/2122726/iced, 12 fl oz,110.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 27 g, 0 g, 24 g, 0 g, 35 mg
Pineapple Passionfruit Lemonade Starbucks Refreshers® Beverage,drinks,starbucks refreshers® beverages,lemonades and frozen,https://www.starbucks.com/menu/product/2123676/iced, 12 fl oz,110.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 27 g, 0 g, 24 g, 0 g, 35 mg
Spicy Strawberry,drinks,starbucks refreshers® beverages,lemonades and frozen,https://www.starbucks.com/menu/product/2123841/iced, 12 fl oz,150.0, 0 g, 0 g, 0 g, 0 mg, 150 mg, 37 g, 0 g, 32 g, 0 g, 40 mg
Spicy Dragonfruit,drinks,starbucks refreshers® beverages,lemonades and frozen,https://www.starbucks.com/menu/product/2123833/iced, 12 fl oz,150.0, 0.5 g, 0 g, 0 g, 0 mg, 150 mg, 36 g, 1 g, 31 g, 1 g, 40 mg
Spicy Pineapple,drinks,starbucks refreshers® beverages,lemonades and frozen,https://www.starbucks.com/menu/product/2123839/iced, 12 fl oz,150.0, 0 g, 0 g, 0 g, 0 mg, 150 mg, 37 g, 0 g, 31 g, 0 g, 40 mg
Frozen Strawberry Açaí Lemonade Starbucks Refreshers® Beverage,drinks,starbucks refreshers® beverages,lemonades and frozen,https://www.starbucks.com/menu/product/2123766/iced, 12 fl oz,120.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 29 g, 0 g, 26 g, 0 g, 35 mg
Frozen Mango Dragonfruit Lemonade Starbucks Refreshers® Beverage,drinks,starbucks refreshers® beverages,lemonades and frozen,https://www.starbucks.com/menu/product/2123768/iced, 12 fl oz,120.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 28 g, 1 g, 25 g, 0 g, 35 mg
Frozen Pineapple Passionfruit Lemonade Starbucks Refreshers® Beverage,drinks,starbucks refreshers® beverages,lemonades and frozen,https://www.starbucks.com/menu/product/2123767/iced, 12 fl oz,120.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 29 g, 1 g, 25 g, 0 g, 40 mg
